ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
5049,Guanciale,16th May 2007,D Burchell,Gelding,Exit To Nowhere,Thenford Lass,Mr Dai Burchell
5097,Come On Dave,28th April 2009,J Butler,Gelding,Red Clubs,Desert Sprite,Royale Racing Syndicate
5106,Snow Squaw,4th March 2014,D R C Elsworth,Filly,Excelebration,Snoqualmie Girl,Mr J C Smith
5053,Chance Taken,7th April 2008,Noel Williams,Mare,Overbury,New Dawn,Mr Noel Williams
5092,Steelriver,30th March 2010,M Herrington,Gelding,Iffraaj,Numerus Clausus,Mrs H Lloyd-herrington
5098,Masamah,19th March 2006,Ian Williams,Gelding,Exceed And Excel,Bethesda,Dr Marwan Koukash
5059,Caprice D'anglais,12th May 2012,C E Longsdon,Gelding,Kapgarde,Odile De Neulliac,The Charlie Longsdon Racing Club
5063,Cybelle Colombe,1st June 2012,A King,Filly,Network,Sismaelle,Mr David Sewell
5116,Precious Ramotswe,17th February 2014,J &amp; T Gosden,Filly,Nathaniel,Miss Pinkerton,Mr A E Oppenheimer
5054,Alottarain,12th April 2010,J W Mullins,Mare,Zerpour,Alottalady,S Mullins Racing Club
5107,Starlight Circus,13th April 2014,M Botti,Filly,High Chaparral,Mountain Law,Mr Chris McHale
5108,Vrika Bay,16th January 2014,R Eddery,Filly,Mastercraftsman,Fascination Street,Robert's Rogues
5126,Quothquan,28th March 2014,M Madgwick,Gelding,Myboycharlie,Lonestar Spirit,Los Leader
5073,Squeaky,26th April 2011,N A Twiston-Davies,Mare,Kayf Tara,Alta,Mrs David Plunkett
5081,Boycie,16th March 2013,A Wintle,Gelding,Paco Boy,Eve,Mr Adrian Wintle
5069,Our Belle Amie,28th February 2012,K C Bailey,Mare,Black Sam Bellamy,Very Special One,Chasing Hopefuls
5064,Dites Rien,8th April 2012,N P Mulholland,Mare,Kalanisi,Our Soiree,Neil Mulholland Racing Club
5050,Redmond,6th April 2010,Noel Williams,Gelding,Tikkanen,Medal Quest,Mr P Walters
5118,Titi Makfi,28th January 2014,M Johnston,Filly,Makfi,Titivation,Paul &amp; Clare Rooney
5117,Scarlet Thrush,1st April 2014,L McJannet,Filly,Kodiac,Reveal The Star,AlMohamediya Racing
5136,Sliceoflife,1st March 2014,M Botti,Gelding,Sayif,Cherrego,Mrs Lucie Botti
5083,Cat Royale,2nd April 2013,J Butler,Gelding,Lilbourne Lad,Call This Cat,Whiterok Ltd
5074,State Sovereignty,21st January 2012,M Scudamore,Mare,Authorized,Sovereign's Honour,Mr J C G Chua
5128,Washington Blue,19th April 2014,C G Cox,Filly,Rip Van Winkle,Powder Blue,Cavendish Bloodstock Racing
5105,Piaffe,10th May 2014,Jane Chapple-Hyam,Filly,Successful Appeal,Palisade,Mrs Charles Cyzer
5146,Smoky Hill,28th February 2009,A W Carroll,Gelding,Galileo,Danaskaya,Millen &amp; Cooke
5091,Sandfrankskipsgo,20th April 2009,P Crate,Gelding,Piccolo,Alhufoof,Mr Peter Crate
5079,Zabeel Star,12th March 2012,I Jardine,Gelding,Arcano,Deep Winter,The Self Preservation Society
5093,Normal Equilibrium,28th February 2010,I Furtado,Gelding,Elnadim,Acicula,Miss Bev Griffiths
5127,Pobbles,17th April 2014,P Valdivielso,Filly,Medicean,Oystermouth,Ji Olave
5115,Nurse Nightingale,14th March 2014,M L W Bell,Filly,Nathaniel,Whazzat,W J and T C O Gredley
5084,Shifting Star,8th March 2005,J J Bridger,Gelding,Night Shift,Ahshado,Night Shadow Syndicate
5060,Just A Thought,17th March 2012,Miss R Curtis,Mare,Stowaway,Carrig Lucy,Hyde Outhart Moran And Hill
5101,Gallifrey,16th March 2014,L Wadham,Filly,Sir Percy,Crystal Gal,Chasemore Farm
5089,Dukes Meadow,2nd March 2011,R Ingram,Gelding,Pastoral Pursuits,Figura,The Stargazers
5137,Dream Reversion,3rd March 2014,Tom Dascombe,Colt,Oasis Dream,Last Second,Mr John Dance
5125,Mullarkey,1st April 2014,J R Best,Gelding,Mullionmileanhour,Hannah's Dream,Thomson &amp; Partners
5094,Miracle Garden,26th March 2012,R Brotherton,Gelding,Exceed And Excel,Sharp Terms,Mr M A Geobey
5138,Debonaire David,16th April 2014,R Hughes,Colt,Sir Prancealot,Peyto Princess,Sir David Seale
5070,Queen Of Dragons,11th June 2012,A Ralph,Mare,Recharge,Primitive Princess,Miss A G A Galliers-pratt
5111,Flight Of Fantasy,1st April 2014,H J L Dunlop,Filly,Nathaniel,Luminda,P A Deal &amp; G Lowe
5099,Beyond Recall,14th April 2014,A Watson,Filly,Cacique,Forgotten Dreams,Boadicea Bloodstock
5147,Stand Guard,11th March 2004,J Butler,Gelding,Danehill,Protectress,Miss Alice Haynes
5156,Little Orchid,7th March 2013,Miss J Feilden,Filly,Observatory,Bushy Dell,Mr R J Creese
5135,Texas Katie,19th April 2014,R Hackett,Filly,Clodovil,Nadinska,Ray Hackett
5102,Glassalt,1st February 2014,M L W Bell,Filly,Medaglia D'oro,Abergeldie,The Queen
5148,Catharina,12th April 2012,D K Ivory,Filly,Dutch Art,Lambadora,Mr K T Ivory
5080,Hungerford,30th January 2012,Eve Johnson Houghton,Gelding,Pastoral Pursuits,Truly Pink,Trinity Park Stud
5121,Suspect Package,13th April 2014,J R Fanshawe,Gelding,Lonhro,Pretty Meadow,Apple Tree Stud
5104,Mayflair,2nd May 2014,J G Portman,Filly,Zamindar,Madhaaq,Mr R A Popely
5145,Miriam Violet,24th March 2014,P Henderson,Filly,Dick Turpin,Velvet Band,Mr John H W Finch
5109,Awaayil,24th February 2014,J Tate,Filly,Iffraaj,Lady Pitrizza,Sheikh Rashid Dalmook Al Maktoum
5112,Katie's Surprise,9th February 2014,J Butler,Filly,Famous Name,Lamh Eile,6468 Racing
5157,Sund City,16th May 2013,H J L Dunlop,Filly,Turtle Bowl,Calithea,Windsor House Racing
5166,Braes Of Lochalsh,9th March 2011,J S Goldie,Gelding,Tiger Hill,Gargoyle Girl,Johnnie Delta Racing
5131,No Not Again,22nd April 2014,S Joseph Jr,Colt,Roderic O'connor,Bella Bella,Sir David Seale
5090,Seve,30th April 2012,K Lanslots,Gelding,Exceed And Excel,Flamenco Dancer,Ecurie Diaz
5114,Night Poetry,20th January 2014,C Appleby,Filly,Sea The Stars,Aquila D'oriente,Godolphin
5158,Murraqib,19th February 2013,B R Johnson,Gelding,Summer Bird,Golden Party,Tann Racing
5119,Tomorrow Mystery,25th February 2014,P F Nicholls,Mare,Nathaniel,Retake,Mr John P McManus
5122,Upgrade,6th February 2014,K R Burke,Colt,Excelebration,Pinch Of Posh,Mrs Melba Bryce
5176,Parkie Boy,7th June 2011,Mrs A C Hamilton,Gelding,Central Park,Parlour Game,Mr &amp; Mrs D S Byers
5167,Capitoul,13th April 2012,Dr R D P Newland,Gelding,Enrique,Ranavalo,Mrpaull Drinkwater/drr D P Newland
5141,Zaatar,30th April 2014,M R Channon,Filly,Fast Company,Amazing Win,Box 41
5124,Emenem,2nd April 2014,S Dow,Gelding,Sir Percy,Kahalah,Mr Robert Moss
5168,Chapel Stile,4th June 2012,N G Richards,Gelding,Scorpion,Peggy Cullen,Langdale Bloodstock
5155,Staplehurst,7th April 2013,G Deacon,Filly,Beat Hollow,Kelpie,Compton Racing Club
5186,Anitopia,23rd April 2005,Miss L A Perratt,Gelding,Alflora,The Whirlie Weevil,Nil Sine Labore Partnership
5100,Dancing Breeze,12th March 2014,H Motion,Filly,New Approach,Posterity,Merry Fox Stables
5129,Suffragette City,14th March 2014,R Hannon,Filly,Dragon Pulse,Queen Of Stars,Macdonald Wright &amp; Creed
5132,Fancy Day,29th January 2014,M Johnston,Filly,Shamardal,Tizdubai,Sheikh Hamdan Bin Mohammed Al Maktoum
5177,Robbing The Prey,28th March 2011,P A Kirby,Gelding,Robin Des Pres,Derravarra Lady,K Hickey &amp; P England
5134,Gracious Tom,23rd April 2014,P D Evans,Colt,Roderic O'connor,Bigalo's Laura B,Mr Terry Reffell
5178,Strong Economy,21st March 2012,I A Duncan,Gelding,Sandmason,Odd Decision,The Macdonald Family
5196,Benefit In Kind,2nd February 2008,K Scott,Gelding,Beneficial,She's So Beautiful,Mr Edward Cassie
5103,Magical Forest,29th April 2014,S Wattel,Filly,Casamento,Hurry Home Hydee,O Post
5139,Snuggy,14th March 2014,T D Barron,Filly,Elzaam,Mandhooma,Mr A G Greenwood
5142,Chough,11th February 2014,H Morrison,Filly,Dutch Art,Port Charlotte,Lord Margadale
5165,Put The Boot In,8th February 2012,Mrs N S Evans,Gelding,Duke Of Marmalade,Mubkera,Matt Watkinson &amp; Dare To Dream Racing
5187,Achill Road Boy,21st March 2009,W Coltherd,Gelding,Morozov,Presenting Katie,Farming Army Newitt Flannigan Findlate
5188,Silverton,8th March 2007,Mrs L B Normile,Mare,Silver Patriarch,Gretton,Twentys Plenty
5144,Hollywood Style,15th February 2014,B G Powell,Filly,Royal Applause,Brazilian Style,Mr P Winkworth
5110,Everdina,10th February 2014,E Walker,Filly,Pour Moi,Silent Music,Mr C E Stedman
5113,Life Happens,7th April 2014,J G Portman,Filly,Pastoral Pursuits,Halfwaytoparadise,Mascalls Stud
5149,Comedy House,20th March 2008,M Madgwick,Gelding,Auction House,Kyle Akin,Los Leader
5175,Knocklayde,20th May 2012,K Scott,Gelding,Mountain High,Foret Noire,The Jackson Partnership
5197,Trouble In Paris,29th March 2007,F P Murtagh,Gelding,Great Palm,Ten Dollar Bill,Hurst Farm Racing
5198,Conquer Gold,24th April 2010,N G Richards,Mare,Gold Well,Ballinamona Wish,Paul &amp; Clare Rooney
5120,African Beat,26th February 2014,R Hughes,Filly,Cape Cross,Rythmic,Rathordan Partnership
5123,Spirit Of Belle,18th February 2014,J Butler,Gelding,Sir Percy,Yensi,Tramore Tree
5206,Plus Jamais,29th April 2007,I Jardine,Gelding,Caballo Raptor,Branceilles,A Crawford &amp; Partner
5152,Graceful Lady,15th February 2013,R Eddery,Mare,Sixties Icon,Leitzu,Graham &amp; Lynn Knight
5159,Baltic Prince,12th April 2010,A W Carroll,Gelding,Baltic King,Brunswick,Mr A Mills
5185,Duhallowcountry,11th March 2006,V Thompson,Gelding,Beneficial,Milltown Lass,Mr V Thompson
5151,Silver Lining,15th April 2012,M R Hoad,Gelding,Dark Angel,Out Of Woods,Mrs K B Tester
5130,Baileys Apprentice,29th March 2014,M Johnston,Filly,Mastercraftsman,Jalissa,G R Bailey Ltd (Baileys Horse Feeds)
5154,Lily Edge,16th April 2009,J J Bridger,Mare,Byron,Flaming Spirt,Mr J J Bridger
5216,Better Getalong,24th March 2011,N G Richards,Gelding,Gold Well,Arequipa,Tarzan Bloodstock &amp; King For A Day
5195,Alfred Oats,11th June 2004,R Goldie,Gelding,Alflora,Easter Oats,Mr Robert H Goldie
5169,Charmant,10th April 2012,J Ewart,Gelding,Balko,Ravissante,Mr A Phillips &amp; Mrs N Sperling
5162,Stormbound,29th January 2009,P F I Cole,Gelding,Galileo,A Footstep Away,P F I Cole Ltd
5133,Broughtons Story,9th February 2014,P J McBride,Gelding,Royal Applause,News Desk,Broughton Thermal Insulation
5140,Fair Selene,5th February 2014,H Main,Filly,Equiano,Jane Jubilee,Andrewknottmrspenelopetollmrlloyd
5161,Hannington,28th April 2011,M Appleby,Gelding,Firebreak,Manderina,From The Front Racing
5164,Muzaahim,12th February 2011,Laura Morgan,Gelding,Tamayuz,Elizabeth Swann,Mr Robert Jenkinson
5226,Ertidaad,6th March 2012,Emma Owen,Gelding,Kodiac,Little Scotland,Miss Emma L Owen
5205,Tiger Mountain,21st March 2011,J M Jefferson,Gelding,Mountain High,Our Trick,Mrs Madie Jagger
5179,Vertigo,29th April 2012,Miss Lucinda V Russell,Gelding,Jeremy,Lady Coquette,Mrs S Russell &amp; A M Russell
5143,Lord Cooper,8th March 2014,R O'Brien,Gelding,Sir Percy,Zooming,W O'Brien
5172,Da Baba Elephant,11th April 2009,R McNally,Gelding,Subtle Power,Queenofbenitstown,Ronan M P McNally
5171,Craiganboy,12th June 2009,N W Alexander,Gelding,Zagreb,Barnish River,Quandt Cochrane Lysaght
5174,Gworn,3rd March 2010,R M Smith,Gelding,Aussie Rules,Crochet,Mr R Gibson
5236,Jessica Jo,25th March 2013,M Johnston,Filly,Mastercraftsman,Naomh Geileis,Mrs Christine E Budden
5215,Sam's Adventure,6th April 2012,B Ellison,Gelding,Black Sam Bellamy,My Adventure,Julie &amp; Phil Martin
5189,New Vic,9th April 2006,A M Thomson,Gelding,Old Vic,Innovate,Lambden Racing Club
5150,Hermosa Vaquera,26th March 2010,G L Moore,Mare,High Chaparral,Sundown,Mr Michael Baldry
5182,Gin Cobbler,22nd February 2006,V Thompson,Gelding,Beneficial,Cassia,Mr V Thompson
5208,West Of The Edge,27th March 2008,Dr R D P Newland,Gelding,Westerner,Bermuda Bay,ValueRacingClub co uk
5184,Five Point Plan,10th April 2006,Gemma Anderson,Gelding,Rashar,Grangeway,Mr K Barker
5181,Baraboy,8th April 2010,F P Murtagh,Gelding,Barathea,Irina,Mr Anthony White
5225,Sober Up,1st April 2012,I Furtado,Filly,Kheleyf,Morning After,Mr M Scaldalai
