0020071,Our Caravan,31st March 2011,Michael Ferraro,Gelding,Daaher,Alwaan,Michael Ferraro
0020052,Miner's Cat,28th April 2013,C Lopresti,Mare,Mineshaft,Pure Symmetry,Robert B And Beverly J Lewis Trust
0020094,Conquest Expresso,4th March 2013,David Donk,Gelding,Munnings,Cafe,Skiman Racing Stable Inc
0020050,City Of Trix,23rd April 2008,S Slovis,Mare,Century City,Charming Trick,Serenity Spring Llc
0020056,Fighting Xena,15th March 2009,Donald Hunt,Mare,Noble Causeway,Fight Girl,Robert Hunt
0020105,Elusive Suzy,2nd April 2014,Kevin Buttigieg,Filly,Old Fashioned,Sexy Suzy,Chesney Stephen And Hoffman Cory S
0020059,Monster Mash,14th April 2009,Dave Treharne,Horse,Ghostzapper,Rose Frances,Mark Yagour Inc
0020062,Porridge,23rd February 2014,Dane Kobiskie,Filly,The Factor,Four Bears,Ptk Llc
0020108,Lucy In Disguise,13th May 2014,John Servis,Filly,Quality Road,Smooth Charm,Alexandria Stable
0020081,Mr. Canada,14th February 2012,Michael Ferraro,Gelding,Bellamy Road,Miss Canada,J And M Racing Stables
0020104,Hello Juliet,3rd March 2014,Antonio Sano,Mare,Adios Charlie,Ennuhway,Guarnieri Stables Inc
0020115,Gem Digger,24th January 2014,Josh Liber,Filly,Tale Of Ekati,City Hylton,Liber Michael And Josh
0020069,Derby Glass,20th April 2011,Jorge Navarro,Gelding,Include,Golden Party,Jn Racing Stables Inc
0020066,Draxhall Woods,10th March 2010,Ralph Riviezzo,Gelding,Graeme Hall,Josey Hill,James Aguilar-juarez
0020107,Creative Talent,26th April 2014,Jorge Navarro,Filly,Creative Cause,Goldbud,Al And Michelle Crawford Racing
0020072,Don Dulce,19th April 2008,Dominick Schettino,Gelding,Maria's Mon,Sweet Eloise,Rosenthal Robert D  Greenberg Martin Como Salvatore And Sal-lou J G Stable
0020125,Kitten's Cat,22nd January 2014,Robert Falcone,Horse,Kitten's Joy,Brushwork,John Grossi's Racing Corp
0020118,Sand Shark,3rd March 2014,Gary Sciacca,Filly,Hard Spun,Rhineshark,Thomas Sally
0020114,Faena,13th March 2014,Antonio Sano,Filly,Monba,Beryl Markham,Gallop Racing And Magic Stables Llc
0020079,Castaway,4th February 2009,Michelle Nevin,Horse,Street Sense,Priceless Storm,Michael Dubb
0020076,Cape Flattery,13th February 2013,Ivan Vazquez,Gelding,Cape Blanco,Cozzene Along,V J Racing
0020117,Lasso The Lion,17th May 2014,Sharon Ceccato,Filly,American Lion,Lasso The Moon,Catherine Angelo
0020128,Leverkusen,18th January 2014,Monte Thomas,Gelding,Divine Park,Lucys Back,Jemstone Llc
0020135,Fire For Effect,12th February 2014,Martin Drexler,Horse,Smart Strike,In The Slips,Brandon Brako Stable 1569389 Ontario Inc And Exelby Randy
0020124,Sailor's Valentine,25th March 2014,Eddie Kenneally,Filly,Mizzen Mast,Sortilege,Semaphore Racing Llc And Homewrecker Racing Llc
0020082,Alright Alright,1st May 2012,Jr John Toscano,Horse,Munnings,Afare,Zimmerman Scott
0020089,Divine Interventio,23rd April 2013,John Robb,Gelding,Malibu Moon,Art Show,Gene Gould Jr
0020086,Uncle James,14th March 2013,Steven Asmussen,Colt,Into Mischief,Satin Breeze,Paradise Farms Corp
0020138,Gray Nile,12th March 2014,Dale Romans,Gelding,Pioneerof The Nile,My Elusive Dream,Frank Jones Jr
0020145,Creative Courage,20th February 2014,Jennifer Tooley,Gelding,Creative Cause,Zarrin,Jennifer Tooley
0020134,Prince Tito,14th April 2014,Forrest Kelly,Gelding,Pioneerof The Nile,Lil Indy,Black And Blue Stable
0020096,Digitaldestruction,15th May 2014,Linda Rice,Gelding,Mission Impazible,Roots Run Deep,Black Swan Stable
0020099,Mo Focused,18th May 2014,III Ollie Figgins,Gelding,Uncle Mo,Tamboorensnshampan,Ray Pennington Iii
0020144,Don't Over Look,31st March 2014,David Fawkes,Horse,Quality Road,Half Heaven,Domino Enterprises Inc
0020060,Risetotheoccasion,15th January 2012,Dominick Schettino,Gelding,Discreet Cat,Rising Lady,Rosenthal Robert D  Greenberg Martin Como Salvatore And Sal-lou J G Stable
0020106,Dolly Stormy,23rd May 2014,Bruce Pollock,Mare,Get Stormy,American Miss,Byfield Fred Decaires Patrick J  Kellam Doug Buck Joseph And Pollock Bruce M
0020155,Scarly Charly,24th February 2009,David Cannizzo,Gelding,Friends Lake,Extra Rare,Our Blue Streaks Stable
0020070,G Code,5th March 2014,Darrell Brown,Mare,Algorithms,G. Beverly,Jeff Crozier
0020109,Gran Weekend,1st April 2014,Laura Carson,Filly,Telling,Natural Glow,Drawing Away Stable
