ID,NAME,DOB,TRAINER,GENDER,SIRE,DAM,OWNER
0075196,Off Hand,13th July 2021,T D Easterby,Filly,-,-,-
0075251,Molly Two,13th July 2021,L A Mullaney,Mare,-,-,-
0075253,Hand Painted,13th July 2021,A Middleton,Gelding,-,-,-
0075266,The Duckster (IRE),13th July 2021,R G Hawker,Gelding,-,-,-
0075248,Franali (IRE),13th July 2021,R F Fisher,Filly,-,-,-
0075249,Carhue Princess (IRE),13th July 2021,T Symonds,Mare,-,-,-
0075263,Answer Me (IRE),13th July 2021,Mrs M Hobbs,Gelding,-,-,-
0075246,Alpen Glen,13th July 2021,John Berry,Filly,-,-,-
0075264,Coverdale Girl,13th July 2021,Joss Saville,Mare,-,-,-
0075261,When Doves Cry,13th July 2021,B W Hills,Filly,-,-,-
0075258,Efficiency,13th July 2021,M Blanshard,Filly,-,-,-
0075254,Magaling (IRE),13th July 2021,M W Easterby,Gelding,-,-,-
0075247,Digger Derek (IRE),13th July 2021,R A Fahey,Gelding,-,-,-
0075259,Nashmiah (IRE),13th July 2021,C E Brittain,Filly,-,-,-
0075262,Rumline,13th July 2021,W S Kittow,Filly,-,-,-
0075250,Kellies Rocket (IRE),13th July 2021,M Halford,Filly,-,-,-
0075252,Naias (IRE),13th July 2021,R A Fahey,Filly,-,-,-
0075265,Lucky Forteen,13th July 2021,P W Hiatt,Filly,-,-,-
0075255,Black Nun,13th July 2021,S Wynne,Filly,-,-,-
0075257,Desert Bump,13th July 2021,E F Vaughan,Filly,-,-,-
0075245,Across The Rhine (USA),13th July 2021,S Seemar,Gelding,-,-,-
0075260,Protiva,13th July 2021,Karen George,Filly,-,-,-
0075323,Our Nations,13th July 2021,D Carroll,Gelding,-,-,-
0075256,Cumana Bay,13th July 2021,R Hannon,Filly,-,-,-
0075324,Wrecker's Moon (IRE),13th July 2021,T J Etherington,Filly,-,-,-
0075338,River Dee (IRE),13th July 2021,D Donovan,Gelding,-,-,-
0075339,Tax Dodger (IRE),13th July 2021,P Cluskey,Gelding,-,-,-
0075321,Partner (IRE),13th July 2021,F Lippitsch,Gelding,-,-,-
0075328,Nora Mae (IRE),13th July 2021,S Kirk,Filly,-,-,-
0075336,Lady Dinsdale (IRE),13th July 2021,T Keddy,Filly,-,-,-
0075326,Amatara (IRE),13th July 2021,B G Powell,Filly,-,-,-
0075329,Order Order,13th July 2021,Tim Vaughan,Filly,-,-,-
0075322,Respite,13th July 2021,H A Pantall,Filly,-,-,-
0075341,Exit To Fame (IRE),13th July 2021,J J Hanlon,Gelding,-,-,-
0075333,New Adventure,13th July 2021,P &amp; O Cole,Gelding,-,-,-
0075337,Mt Kintyre (IRE),13th July 2021,N J Hawke,Gelding,-,-,-
0075334,Jacobite Prince (IRE),13th July 2021,M H Tompkins,Gelding,-,-,-
0075327,Dream Huntress,13th July 2021,C Hills,Filly,-,-,-
0075325,Always There (IRE),13th July 2021,R Hannon,Filly,-,-,-
0075340,Almonafis (IRE),13th July 2021,Sir Michael Stoute,Colt,-,-,-
0075335,Katie Higgins,13th July 2021,J L Spearing,Filly,-,-,-
0075332,Rubacuori (BRZ),13th July 2021,Frau R Weiemeier,Gelding,-,-,-
0075330,Perfect Pride (USA),13th July 2021,A Aghbash,Mare,-,-,-
0075331,Slant (IRE),13th July 2021,Eve Johnson Houghton,Filly,-,-,-
0075401,Johnny Joe (USA),13th July 2021,Stephen Wilson,Gelding,-,-,-
0075429,Party Animal (FR),13th July 2021,J Phelippon,Gelding,-,-,-
0075403,Sir Oz (USA),13th July 2021,Michael Gorham,Colt,-,-,-
0075428,Faylan (FR),13th July 2021,C Baillet,Colt,-,-,-
0075402,Out Drinkin' (USA),13th July 2021,Barbara Price,Gelding,-,-,-
0075443,Kabougg,13th July 2021,A J McCabe,Filly,-,-,-
0075444,Lucky Numbers (IRE),13th July 2021,D O'Meara,Gelding,-,-,-
0075458,Midnight Cruiser (IRE),13th July 2021,M Gharib,Horse,-,-,-
0075431,Bonjour L'africain (FR),13th July 2021,Collet,Mare,-,-,-
0075433,Full Of Honor (IRE),13th July 2021,J Y Artu,Gelding,-,-,-
0075459,Sixties Swinger (USA),13th July 2021,M A Jarvis,Gelding,-,-,-
0075423,Pacific Life (BEL),13th July 2021,A Hermans,Filly,-,-,-
0075424,Choky Rani (IRE),13th July 2021,P Khozian,Filly,-,-,-
0075446,Fol Liam,13th July 2021,A J McCabe,Gelding,-,-,-
0075448,Reel Hope,13th July 2021,J R Best,Filly,-,-,-
0075432,Beauvoisin (FR),13th July 2021,C Martens,Gelding,-,-,-
0075426,Piste Perdue,13th July 2021,G Kern,Gelding,-,-,-
0075461,Manhattan Sunrise (USA),13th July 2021,Paul Mason,Filly,-,-,-
0075427,Spirit Of The King (FR),13th July 2021,T Larriviere,Gelding,-,-,-
0075463,Sirgarfieldsobers (IRE),13th July 2021,D Carroll,Gelding,-,-,-
0075447,Leadenhall Lass (IRE),13th July 2021,P Phelan,Mare,-,-,-
0075441,Importer (IRE),13th July 2021,W R Muir,Colt,-,-,-
0075476,Arabian Pearl (IRE),13th July 2021,P W Chapple-Hyam,Mare,-,-,-
0075442,Jul's Lad (IRE),13th July 2021,D Carroll,Gelding,-,-,-
0075462,Hail Caesar (IRE),13th July 2021,B Bruneel,Gelding,-,-,-
0075478,Opatja,13th July 2021,G Elliott,Mare,-,-,-
0075430,Cocody (IRE),13th July 2021,Rod Collet,Mare,-,-,-
0075456,Dalradian (IRE),13th July 2021,W J Knight,Gelding,-,-,-
0075434,Baratom (FR),13th July 2021,Chirurgien (s),Gelding,-,-,-
0075457,Granski (IRE),13th July 2021,P Delaney,Gelding,-,-,-
0075445,Paddyntrev Bakfavs (IRE),13th July 2021,T D Easterby,Gelding,-,-,-
0075477,Bawnrush (IRE),13th July 2021,H Rogers,Filly,-,-,-
0075449,Saints Bay (IRE),13th July 2021,S D Dixon,Filly,-,-,-
